Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-23;Kiliç C et al.;2026;22.09.2026;Turk Psikiyatri Derg;2026;Nur 20,9 % der psychisch Kranken in der Türkei erhalten Behandlung, 6,6 % ausreichende Behandlung;Landesweite Befragung von 1.790 Erwachsenen zur Behandlung von Angststörungen, Stimmungsstörungen und externalisierenden Störungen in der türkischen Bevölkerung (DSM-5).;Prävalenz psychischer Störungen 23,9 %, davon 20,9 % behandelt, nur 6,6 % mit minimal angemessener Behandlung (MAT). Behandlung stieg mit Schweregrad, aber MAT nicht. Frauen und früher verheiratete Personen höhere Quoten. Ein klarer Versorgungsgap.;"Türkei, nicht-europäisches Versicherungssystem; Befund zum Behandlungsgap international relevant.";42768881;https://pubmed.ncbi.nlm.nih.gov/42768881/
2026-09-23;Nisa A et al.;21.09.2026;22.09.2026;BMC Psychiatry;2026;Transdiagnostische Psychotherapie bei Angst und Depression in Pakistan machbar und akzeptabel;Pilot-RCT der Urdu-adaptierten Unified Protocol (UA-UP) in Pakistan bei 51 Patienten mit Angststörungen und/oder Depressionen (14 Wochen, n=25 Intervention, n=26 Warteliste).;Rekrutierung 85,7 %, Retention 82,4 %, Hausaufgaben-Compliance 79 %, Zufriedenheit CSQ-8=29,65. Große Effekte: Angst g=1,18, Depression g=1,15. Kulturelle Anpassung entscheidend für Engagement.;"Pakistan, Niedrig-Ressourcen-Kontext; Machbarkeitsbefund für skalierbare, kostengünstige transdiagnostische Interventionen relevant.";42768329;https://pubmed.ncbi.nlm.nih.gov/42768329/
2026-09-23;Basic D et al.;20.08.2026;18.09.2026;Schizophr Bull;2026;Früherkennung von Psychose bei autistischen Erwachsenen: PQ-16 hat Screening-Wert;"Querschnitt- und Längsschnitstudie zu Validierung des Prodromal Questionnaire-16 (PQ-16) bei 1.686 autistischen Erwachsenen aus Niederlandes Autism Register; Vorhersage psychose-ähnlicher Symptome und Schizophrenie-Spektrum-Diagnosen.";"34,1 % schritten über PQ-16-Cutoff (≥6). Neuauftreten von Schizophrenie-Spektrum-Diagnosen 1,4 % (5/361, nur in Cutoff+-Gruppe 3,2 %). ROC-Analysen deuten auf Diskriminationsfähigkeit hin; PQ-16 identifiziert Muster abgeschwächter psychotischer Symptome.";"Niederlande, großer autistischer Kohorte; Screening-Validität unabhängig vom Gesundheitssystem.";42755260;https://pubmed.ncbi.nlm.nih.gov/42755260/
2026-09-23;Rrustemi E et al.;16.09.2026;17.09.2026;Rev Med Suisse;2026;Geschlechtsidentität und Psychiatrie: Integrating Gender in Mental Health Care;Perspektive einer Gender-sensiblen psychiatrischen Versorgung in der Schweiz: Geschlechterrolle, Normen und soziale Verhältnisse beeinflussen Zugang zu Hilfe und psychische Erkrankungen.;"Kernaussage: Psychiatrische Versorgung muss psychische Störungen in ihrem sozialen Kontext verstehen; methodische Ansätze des Gender*CoLaus-Projekts erfassen Geschlechtsdimensionen für präzisere Forschung und gerechtere klinische Praxis.";"Schweiz, vergleichbares Versicherungssystem; Fokus auf Ungleichheit und Zugang zentral für deutschsprachigen Raum.";42750577;https://pubmed.ncbi.nlm.nih.gov/42750577/
2026-09-23;Bartels SL et al.;02.09.2026;03.09.2026;BMJ Open;2026;Konsens über Methoden für psychosoziale Demenz-Interventionsforschung: Delphi-Studie mit Stakeholdern;Multi-Phasen-Delphi-Studie mit Menschen mit Demenz, Angehörigen, Fachpersonen, Politikern und Versicherern zur Identifikation von Kernkompetenzen und geeigneten Methoden für Interventionsentwicklung.;Konsensus über 6 Kernelemente pro Phase (berücksichtigen von Kontext, Programmtheorie, Stakeholder-Engagement, Unsicherheiten, Verfeinerung, ökonomische Aspekte). Methodische Empfehlungen für alle Phasen der Interventionsentwicklung, mit Fokus auf Co-Design.;"Europäisches Multiländer-Konsortium (Niederlande, UK, Schweden, Belgien); übertragbar auf deutschsprachigen Kontext.";42692512;https://pubmed.ncbi.nlm.nih.gov/42692512/
2026-09-22;;;;J Health Care Poor Underserved;2026;Restorative Circles für Migrantencommunities: Community-getriebene Traumabehandlung;Drei Fokusgruppen mit insgesamt 34 Angehörigen von Latine- und Präkolumbischer Indigenous-Immigrant Communities in ländlichem Kalifornien zu Erfahrungen mit Traumatisierung und Bedarf an Psychotherapie.;"Umgesiedelte Migranten (n=14): Post-COVID-Trauma, ökonomische Prekarität, psychische Last undokumentierter Status; Farmarbeiter (n=10): Schulgewalt und Substanzmissbrauch; Purépecha-Gemeinschaft (n=10): Suizidalität, Stigmatisierung, extreme Ressourcenknappheit; alle Gruppen: Diskriminierung und schulisches Mobbing als persistente Probleme.";"USA/Kalifornien; Befund zum Bedarf für kulturell angepasste, partizipativ entwickelte Angebote, nicht Versicherungssystem gebunden";42766509;https://pubmed.ncbi.nlm.nih.gov/42766509/
2026-09-22;;;;Eur J Psychotraumatol;2026;Prolonged Exposure in der Routineversorgung: Machbarkeit, Sicherheit und Wirksamkeit;"95 Patienten mit PTSD erhielten Prolonged Exposure in einem französischen ambulanten Zentrum; Outcome gemessen mit Clinician-Administered PTSD Scale und PCL-5 bei Aufnahme, vor/nach Behandlung und 3-Monats-Follow-up.";"75,5 % erreichten wahrscheinliche Remission (PCL-5 < 33); 79,8 % zeigten klinisch signifikante Verbesserung (≥ 10-Punkte-Reduktion); großer Effekt prä- zu post-Behandlung (d = 1,88, p < 0,001); Dropout-Rate 9,5 %; 1 % zeigten zuverlässige Verschlechterung.";Frankreich, ambulante Regelversorgung ohne spezialisierte Therapieinfrastruktur;42766476;https://pubmed.ncbi.nlm.nih.gov/42766476/
2026-09-22;;;;Bipolar Disord;2026;Valproat senkt Wiederaufnahmerate nach First Episode Mania – taiwanesische Kohorte;Propensity-Score-gematchte Kohorte (Taiwans Nationale Krankenversicherung 2011–2022) mit 3.909 Patienten: Lithium+Antipsychotika vs. Valproat+Antipsychotika nach erster stationärer Behandlung einer Manie.;"Valproat+AAP mit niedrigerem Wiederaufnahmerisiko als Lithium+AAP (HR 1,18, 95% CI 1,03–1,35); hauptsächlich durch Manie getrieben (HR 1,16, 95% CI 1,01–1,35); annualisierte Wiederaufnahmerate höher mit Lithium (IRR 1,34, 95% CI 1,17–1,54).";"Taiwan; Versicherungsdaten international verwendbar, Befund vom System unabhängig";42765449;https://pubmed.ncbi.nlm.nih.gov/42765449/
2026-09-22;;;;Psychol Med;2026;Lithium und Valproat reduzieren Suizidrisiko gleich wirksam – Meta-Analyse;Retrospektive Kohorte mit 6.935 Patienten mit bipolarer Störung (Hongkong) plus Netzwerk-Meta-Analyse von RCTs und Beobachtungsstudien zum Vergleich von Lithium, Valproat und Kontrolle bei Suizidprävention.;"Kohortenstudie: kein signifikanter Unterschied zwischen Lithium und Valproat (HR 0,76, 95% CI 0,54–1,08); Netzwerk-Meta-Analyse: beide Substanzen senken Suizidrisiko vs. Kontrolle (Lithium: HR 0,46, 95% CI 0,33–0,64; Valproat: HR 0,63, 95% CI 0,45–0,88); kein signifikanter Unterschied zwischen ihnen (HR 0,73, 95% CI 0,52–1,02).";"Hongkong/Taiwan, mit RCTs mehrerer Länder; Befund nicht an Sozialversicherungssystem gebunden";42765379;https://pubmed.ncbi.nlm.nih.gov/42765379/
2026-09-22;;;;Early Interv Psychiatry;2026;EPICare: Nationale Lernplattform zur Psychose stärkt datengesteuerte Versorgung;Multistakeholder-Kodesign entwickelte ein Datensystem für Early-Intervention-in-Psychosis-Services in England, das Ungleichheiten in der Behandlung und Recovery-Raten identifizieren und reduzieren soll.;"Weniger als 40 % der Patienten erreichen vollständige klinische Genesung; Konsens für Core-Dataset und klinisches Dashboard erarbeitet; technisch machbar und national skalierbar.";England, NHS-System mit vergleichbarer Dateninfrastruktur-Heterogenität;42765287;https://pubmed.ncbi.nlm.nih.gov/42765287/
